"filename", "language", "JSON", "HLSL", "ShaderLab", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 188, 0, 10, 50, 248
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 183, 0, 8, 50, 241
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 82, 0, 4, 21, 107
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 183, 0, 8, 50, 241
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 103, 0, 8, 28, 139
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 122, 0, 4, 33, 159
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 243, 0, 4, 71, 318
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 97, 0, 0, 20, 117
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 63, 0, 0, 2, 20, 85
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 122, 0, 0, 2, 34, 158
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 62, 0, 0, 10, 14, 86
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 76, 0, 0, 7, 19, 102
"d:\progs\unity\projects\Jam3 (1)\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 2, 157
"Total", "-", 155, 323, 2015, 924, 93, 830, 4340
